time (s),input (us),force (lb)
2.026,1650,0.72
2.028,1650,1.93
2.030,1650,2.72
2.032,1650,3.40
2.034,1650,4.04
2.036,1650,4.75
2.038,1650,4.33
2.040,1650,4.11
2.042,1650,3.79
2.044,1650,3.25
2.046,1650,1.97
2.048,1650,1.01
2.050,1850,0.90
2.052,1850,1.36
2.054,1850,1.22
2.056,1850,1.47
2.058,1850,1.47
2.060,1850,1.33
2.062,1850,1.93
2.064,1850,4.47
2.066,1850,6.93
2.068,1850,10.25
2.070,1850,13.35
2.072,1850,14.10
2.074,1850,14.10
2.076,1850,12.14
2.078,1850,10.25
2.080,1850,8.18
2.082,1850,6.43
2.084,1850,5.61
2.086,1850,5.68
2.088,1850,4.40
2.090,1850,4.40
2.092,1850,5.04
2.094,1850,6.15
2.096,1850,8.39
2.098,1850,10.07
2.100,1850,11.25
2.102,1850,11.00
2.104,1850,9.54
2.106,1850,10.39
2.108,1850,9.29
2.110,1850,8.47
2.112,1850,8.29
2.114,1850,7.61
2.116,1850,6.11
2.118,1850,6.47
2.120,1850,7.50
2.122,1650,7.89
2.124,1650,7.50
2.126,1650,10.82
2.128,1650,9.50
2.130,1650,8.86
2.132,1650,10.39
2.134,1650,8.29
2.136,1650,4.75
2.138,1650,2.04
2.140,1650,0.22
2.142,1650,-2.21
2.144,1650,-2.28
2.146,1650,-0.81
2.148,1650,0.11
2.150,1650,1.18
2.152,1650,2.83
2.154,1650,2.72
2.156,1650,2.47
2.158,1650,2.86
2.160,1650,3.90
2.162,1650,4.65
2.164,1650,4.61
2.166,1650,5.82
2.168,1650,5.40
2.170,1650,4.18
2.172,1650,2.79
2.174,1650,2.18
2.176,1650,0.26
2.178,1650,-1.24
2.180,1650,-0.71
2.182,1650,0.58
2.184,1650,1.68
2.186,1650,3.36
2.188,1650,3.25
2.190,1650,3.61
2.192,1850,3.11
2.194,1850,3.08
2.196,1850,3.47
2.198,1850,4.00
2.200,1850,3.58
2.202,1850,2.90
2.204,1850,2.83
2.206,1850,3.40
2.208,1850,6.57
2.210,1850,9.25
2.212,1850,11.14
2.214,1850,13.35
2.216,1850,12.71
2.218,1850,11.43
2.220,1850,10.00
2.222,1850,9.64
2.224,1850,8.82
2.226,1850,7.89
2.228,1850,7.75
2.230,1850,6.65
2.232,1850,4.75
2.234,1850,5.43
2.236,1850,5.90
2.238,1850,5.07
2.240,1850,7.50
2.242,1850,9.57
2.244,1850,9.21
2.246,1850,10.07
2.248,1850,10.93
2.250,1850,9.79
2.252,1850,9.50
2.254,1850,10.25
2.256,1850,8.39
2.258,1850,7.47
2.260,1650,8.50
2.262,1650,7.47
2.264,1650,7.43
2.266,1650,8.07
2.268,1650,8.25
2.270,1650,7.61
2.272,1650,6.22
2.274,1650,7.36
2.276,1650,4.58
2.278,1650,1.33
2.280,1650,1.22
2.282,1650,-0.39
2.284,1650,-1.53
2.286,1650,0.26
2.288,1650,1.68
2.290,1650,2.51
2.292,1650,2.18
2.294,1650,3.47
2.296,1650,2.72
2.298,1650,2.36
2.300,1650,3.04
2.302,1650,4.22
2.304,1650,4.18
2.306,1650,4.33
2.308,1650,4.22
2.310,1650,2.68
2.312,1650,1.68
2.314,1650,1.33
2.316,1650,1.29
2.318,1650,2.11
2.320,1650,2.01
2.322,1650,2.22
2.324,1850,2.72
2.326,1850,2.29
2.328,1850,1.65
2.330,1850,2.29
2.332,1850,2.51
2.334,1850,2.54
2.336,1850,3.29
2.338,1850,4.22
2.340,1850,5.04
2.342,1850,6.86
2.344,1850,8.57
2.346,1850,10.18
2.348,1850,11.75
2.350,1850,11.89
2.352,1850,11.53
2.354,1850,11.11
2.356,1850,8.93
2.358,1850,7.50
2.360,1850,8.07
2.362,1850,6.07
2.364,1850,5.65
2.366,1850,6.86
2.368,1850,6.75
2.370,1850,7.04
2.372,1850,8.25
2.374,1850,8.39
2.376,1850,7.79
2.378,1850,7.22
2.380,1850,8.54
2.382,1850,8.64
2.384,1850,8.64
2.386,1850,9.36
2.388,1650,9.36
2.390,1650,8.68
2.392,1650,8.32
2.394,1650,9.86
2.396,1650,9.61
2.398,1650,6.47
2.400,1650,7.14
2.402,1650,2.79
2.404,1650,-0.64
2.406,1650,-1.24
2.408,1650,-1.78
2.410,1650,-1.21
2.412,1650,0.76
2.414,1650,3.18
2.416,1650,3.08
2.418,1650,3.47
2.420,1650,3.29
2.422,1650,1.90
2.424,1650,1.29
2.426,1650,1.40
2.428,1650,1.97
2.430,1650,3.36
2.432,1650,4.61
2.434,1650,5.00
2.436,1650,5.47
2.438,1650,4.29
2.440,1650,3.11
2.442,1650,2.47
2.444,1650,0.79
2.446,1650,0.65
2.448,1650,1.93
2.450,1850,2.22
2.452,1850,2.43
2.454,1850,2.97
2.456,1850,1.97
2.458,1850,0.94
2.460,1850,1.26
2.462,1850,1.54
2.464,1850,3.22
2.466,1850,6.00
2.468,1850,8.97
2.470,1850,11.00
2.472,1850,12.32
2.474,1850,12.64
2.476,1850,12.43
2.478,1850,11.86
2.480,1850,11.14
2.482,1850,9.79
2.484,1850,7.68
2.486,1850,6.25
2.488,1850,4.40
2.490,1850,3.61
2.492,1850,4.93
2.494,1850,6.32
2.496,1850,7.68
2.498,1850,8.72
2.500,1850,9.00
2.502,1850,8.61
2.504,1850,7.89
2.506,1850,9.71
2.508,1850,11.14
2.510,1650,10.25
2.512,1650,10.21
2.514,1650,9.21
2.516,1650,7.04
2.518,1650,6.36
2.520,1650,7.39
2.522,1650,6.75
